"Bat1","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"7*","-","-","0","0","","v Bermuda","Port of Spain","19 Mar 2007"
"60","-","-","0","0","","v Sri Lanka","Port of Spain","23 Mar 2007"
"22","-","-","0","0","","v Bangladesh","Dhaka","10 May 2007"
"42*","-","-","0","0","","v Bangladesh","Dhaka","12 May 2007"
"DNB","-","-","0","0","","v Ireland","Belfast","23 Jun 2007"
"74","-","-","1","0","","v South Africa","Belfast","26 Jun 2007"
"2","-","-","1","0","","v South Africa","Belfast","29 Jun 2007"
"36","-","-","0","0","","v South Africa","Belfast","1 Jul 2007"
"10*","-","-","0","0","","v Scotland","Glasgow","16 Aug 2007"
"46","-","-","1","0","","v England","Southampton","21 Aug 2007"
"92*","-","-","1","0","","v England","Bristol","24 Aug 2007"
"56","-","-","1","0","","v England","Birmingham","27 Aug 2007"
"1","-","-","0","0","","v England","Manchester","30 Aug 2007"
"24","-","-","0","0","","v England","Leeds","2 Sep 2007"
"4","-","-","0","0","","v England","The Oval","5 Sep 2007"
"0","-","-","0","0","","v England","Lord's","8 Sep 2007"
"DNB","-","-","0","0","","v Australia","Bengaluru","29 Sep 2007"
"31","-","-","1","0","","v Australia","Kochi","2 Oct 2007"
"0","-","-","1","0","","v Australia","Hyderabad (Deccan)","5 Oct 2007"
"13","-","-","0","0","","v Australia","Chandigarh","8 Oct 2007"
"0","-","-","0","0","","v Australia","Vadodara","11 Oct 2007"
"7","-","-","3","0","","v Australia","Nagpur","14 Oct 2007"
"14","-","-","1","0","","v New Zealand","Colombo (RPS)","11 Sep 2009"
"47","-","-","0","0","","v Sri Lanka","Colombo (RPS)","12 Sep 2009"
"39","-","-","0","0","","v Sri Lanka","Colombo (RPS)","14 Sep 2009"
"76","-","-","0","0","","v Pakistan","Centurion","26 Sep 2009"
"TDNB","-","-","0","0","","v Australia","Centurion","28 Sep 2009"
"4","-","-","2","0","","v West Indies","Johannesburg","30 Sep 2009"
"2","-","-","0","0","","v England","Chester-le-Street","3 Sep 2011"
"32","-","-","0","0","","v England","Southampton","6 Sep 2011"
"2","-","-","0","0","","v England","The Oval","9 Sep 2011"
"19","-","-","0","0","","v England","Lord's","11 Sep 2011"
"69","-","-","0","0","","v England","Cardiff","16 Sep 2011"
