"Bat1","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"23","-","-","0","0","","v Zimbabwe","Harare","28 Nov 2008"
"28","-","-","0","0","","v Zimbabwe","Harare","30 Nov 2008"
"4","-","-","0","2","","v Zimbabwe","Dhaka","12 Jan 2009"
"0","-","-","1","0","","v Bangladesh","Dhaka","14 Jan 2009"
"59","-","-","4","0","","v Bangladesh","Dhaka","16 Jan 2009"
"49","-","-","0","0","","v Pakistan","Karachi","20 Jan 2009"
"16","-","-","3","0","","v Pakistan","Karachi","21 Jan 2009"
"50","-","-","1","0","","v Pakistan","Lahore","24 Jan 2009"
"44","-","-","0","0","","v India","Dambulla","28 Jan 2009"
"4","-","-","2","0","","v India","Colombo (RPS)","31 Jan 2009"
"83","-","-","0","1","","v India","Colombo (RPS)","3 Feb 2009"
"56","-","-","1","0","","v India","Colombo (RPS)","5 Feb 2009"
"84","-","-","2","0","","v India","Colombo (RPS)","8 Feb 2009"
"36","-","-","3","0","","v Pakistan","Dambulla","30 Jul 2009"
"2","-","-","2","0","","v Pakistan","Dambulla","1 Aug 2009"
"37*","-","-","2","0","","v Pakistan","Dambulla","3 Aug 2009"
"39","-","-","0","0","","v Pakistan","Colombo (RPS)","7 Aug 2009"
"16","-","-","2","0","","v Pakistan","Colombo (RPS)","9 Aug 2009"
"18","-","-","2","0","","v New Zealand","Colombo (RPS)","8 Sep 2009"
"5","-","-","4","0","","v India","Colombo (RPS)","12 Sep 2009"
"33","-","-","0","0","","v India","Colombo (RPS)","14 Sep 2009"
"54","-","-","0","0","","v South Africa","Centurion","22 Sep 2009"
"1","-","-","1","0","","v England","Johannesburg","25 Sep 2009"
"11","-","-","1","0","","v New Zealand","Johannesburg","27 Sep 2009"
"90","-","-","1","0","","v India","Rajkot","15 Dec 2009"
"21","-","-","1","2","","v India","Nagpur","18 Dec 2009"
"46","-","-","1","0","","v India","Cuttack","21 Dec 2009"
"60","-","-","0","0","","v India","Kolkata","24 Dec 2009"
"1","-","-","-","-","","v India","Delhi","27 Dec 2009"
"74","-","-","0","0","","v Bangladesh","Dhaka","4 Jan 2010"
"60","-","-","2","0","","v India","Dhaka","5 Jan 2010"
"17*","-","-","1","0","","v Bangladesh","Dhaka","8 Jan 2010"
"68","-","-","1","0","","v India","Dhaka","10 Jan 2010"
"55","-","-","3","0","","v India","Dhaka","13 Jan 2010"
"42","-","-","3","0","","v Pakistan","Dambulla","15 Jun 2010"
"52","-","-","2","2","","v Bangladesh","Dambulla","18 Jun 2010"
"73","-","-","3","0","","v India","Dambulla","22 Jun 2010"
"17","-","-","1","0","","v India","Dambulla","24 Jun 2010"
"48","-","-","1","0","","v New Zealand","Dambulla","13 Aug 2010"
"2","-","-","1","0","","v India","Dambulla","16 Aug 2010"
"40","-","-","-","-","","v New Zealand","Dambulla","19 Aug 2010"
"13*","-","-","4","0","","v India","Dambulla","22 Aug 2010"
"71","-","-","2","1","","v India","Dambulla","28 Aug 2010"
"49","-","-","3","0","","v Australia","Melbourne","3 Nov 2010"
"45","-","-","0","1","","v Australia","Sydney","5 Nov 2010"
"0","-","-","0","0","","v Australia","Brisbane","7 Nov 2010"
"TDNB","-","-","1","0","","v West Indies","Colombo (SSC)","31 Jan 2011"
"20","-","-","0","0","","v West Indies","Colombo (SSC)","3 Feb 2011"
"75","-","-","1","0","","v West Indies","Colombo (SSC)","6 Feb 2011"
"92","-","-","3","1","","v Canada","Hambantota","20 Feb 2011"
"49","-","-","1","1","","v Pakistan","Colombo (RPS)","26 Feb 2011"
"27*","-","-","0","0","","v Kenya","Colombo (RPS)","1 Mar 2011"
"73*","-","-","-","-","","v Australia","Colombo (RPS)","5 Mar 2011"
"11*","-","-","1","1","","v Zimbabwe","Pallekele","10 Mar 2011"
"111","-","-","1","1","","v New Zealand","Mumbai","18 Mar 2011"
"DNB","-","-","0","0","","v England","Colombo (RPS)","26 Mar 2011"
"54","-","-","3","0","","v New Zealand","Colombo (RPS)","29 Mar 2011"
"48","-","-","1","0","","v India","Mumbai","2 Apr 2011"
"4","-","-","1","0","","v England","The Oval","28 Jun 2011"
"69","-","-","0","2","","v England","Leeds","1 Jul 2011"
"25","-","-","0","0","","v England","Lord's","3 Jul 2011"
"75","-","-","0","0","","v England","Nottingham","6 Jul 2011"
"48","-","-","2","2","","v England","Manchester","9 Jul 2011"
"16","-","-","0","0","","v Australia","Pallekele","10 Aug 2011"
"52","-","-","1","0","","v Australia","Hambantota","14 Aug 2011"
"49","-","-","0","0","","v Australia","Hambantota","16 Aug 2011"
"31","-","-","2","0","","v Australia","Colombo (RPS)","20 Aug 2011"
"7","-","-","2","0","","v Australia","Colombo (RPS)","22 Aug 2011"
"5","-","-","0","0","","v Pakistan","Dubai (DSC)","11 Nov 2011"
"5","-","-","2","0","","v Pakistan","Dubai (DSC)","14 Nov 2011"
"45","-","-","0","0","","v Pakistan","Dubai (DSC)","18 Nov 2011"
"58","-","-","2","0","","v Pakistan","Sharjah","20 Nov 2011"
"78","-","-","2","0","","v Pakistan","Abu Dhabi","23 Nov 2011"
"4","-","-","2","0","","v South Africa","Paarl","11 Jan 2012"
"3","-","-","0","0","","v South Africa","East London","14 Jan 2012"
"38","-","-","0","0","","v South Africa","Bloemfontein","17 Jan 2012"
"32","-","-","2","0","","v South Africa","Kimberley","20 Jan 2012"
"102","-","-","0","0","","v South Africa","Johannesburg","22 Jan 2012"
"26","-","-","0","0","","v India","Perth","8 Feb 2012"
"22","-","-","1","1","","v Australia","Perth","10 Feb 2012"
"31","-","-","2","0","","v India","Adelaide","14 Feb 2012"
"30","-","-","1","0","","v Australia","Sydney","17 Feb 2012"
"8","-","-","1","0","","v India","Brisbane","21 Feb 2012"
"22","-","-","1","1","","v Australia","Hobart","24 Feb 2012"
"105","-","-","0","0","","v India","Hobart","28 Feb 2012"
"64","-","-","2","0","","v Australia","Melbourne","2 Mar 2012"
"42","-","-","1","0","","v Australia","Brisbane","4 Mar 2012"
"51*","-","-","0","0","","v Australia","Adelaide","6 Mar 2012"
"19","-","-","2","0","","v Australia","Adelaide","8 Mar 2012"
"65","-","-","0","0","","v India","Dhaka","13 Mar 2012"
"71","-","-","0","0","","v Pakistan","Dhaka","15 Mar 2012"
"6","-","-","0","0","","v Bangladesh","Dhaka","20 Mar 2012"
"9","-","-","1","1","","v Pakistan","Pallekele","7 Jun 2012"
"18","-","-","4","0","","v Pakistan","Pallekele","9 Jun 2012"
"TDNB","-","-","1","0","","v Pakistan","Colombo (RPS)","13 Jun 2012"
"97","-","-","3","0","","v Pakistan","Colombo (RPS)","16 Jun 2012"
"40","-","-","0","0","","v Pakistan","Colombo (RPS)","18 Jun 2012"
"133","-","-","0","0","","v India","Hambantota","21 Jul 2012"
"DNB","-","-","4","0","","v India","Hambantota","24 Jul 2012"
"73","-","-","0","0","","v India","Colombo (RPS)","28 Jul 2012"
"11","-","-","1","0","","v New Zealand","Pallekele","4 Nov 2012"
"15","-","-","0","0","","v New Zealand","Pallekele","6 Nov 2012"
"42*","-","-","1","0","","v New Zealand","Hambantota","10 Nov 2012"
"5","-","-","-","-","","v New Zealand","Hambantota","12 Nov 2012"
"63","-","-","1","0","","v Bangladesh","Hambantota","23 Mar 2013"
"DNB","-","-","-","-","","v Bangladesh","Hambantota","25 Mar 2013"
"48","-","-","2","0","","v Bangladesh","Pallekele","28 Mar 2013"
"68","-","-","1","0","","v New Zealand","Cardiff","9 Jun 2013"
"134*","-","-","1","0","","v England","The Oval","13 Jun 2013"
"3","-","-","2","0","","v Australia","The Oval","17 Jun 2013"
