"Bat1","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"126*","-","-","0","0","","v England","Chester-le-Street","24 Jun 2006"
"100","-","-","1","0","","v England","Manchester","28 Jun 2006"
"12*","-","-","1","0","","v England","Leeds","1 Jul 2006"
"34","-","-","0","0","","v Netherlands","Amstelveen","4 Jul 2006"
"0","-","-","0","0","","v Netherlands","Amstelveen","6 Jul 2006"
"TDNB","-","-","0","0","","v India","Colombo (SSC)","18 Aug 2006"
"35","-","-","1","0","","v Bangladesh","Mohali","7 Oct 2006"
"4","-","-","2","0","","v Zimbabwe","Ahmedabad","10 Oct 2006"
"34*","-","-","0","0","","v West Indies","Mumbai (BS)","14 Oct 2006"
"31","-","-","0","0","","v Pakistan","Jaipur","17 Oct 2006"
"48","-","-","2","0","","v New Zealand","Mumbai (BS)","20 Oct 2006"
"36","-","-","0","0","","v South Africa","Ahmedabad","24 Oct 2006"
"34*","-","-","1","0","","v New Zealand","Napier","28 Dec 2006"
"4","-","-","1","0","","v New Zealand","Queenstown","31 Dec 2006"
"1","-","-","0","0","","v New Zealand","Christchurch","2 Jan 2007"
"0","-","-","0","0","","v New Zealand","Auckland","6 Jan 2007"
"TDNB","-","-","-","-","","v New Zealand","Hamilton","9 Jan 2007"
"0","-","-","-","-","","v India","Kolkata","8 Feb 2007"
"4","-","-","2","0","","v India","Rajkot","11 Feb 2007"
"30","-","-","0","0","","v India","Margao","14 Feb 2007"
"7","-","-","0","0","","v India","Visakhapatnam","17 Feb 2007"
"85","-","-","1","0","","v Bermuda","Port of Spain","15 Mar 2007"
"46","-","-","0","0","","v Bangladesh","Port of Spain","21 Mar 2007"
"7","-","-","1","0","","v India","Port of Spain","23 Mar 2007"
"12","-","-","0","0","","v South Africa","Providence","28 Mar 2007"
"82","-","-","0","0","","v West Indies","Providence","1 Apr 2007"
"56","-","-","1","0","","v England","North Sound","4 Apr 2007"
"15","-","-","0","0","","v New Zealand","St George's","12 Apr 2007"
"72","-","-","0","0","","v Australia","St George's","16 Apr 2007"
"39*","-","-","0","0","","v Ireland","St George's","18 Apr 2007"
"115*","-","-","1","0","","v New Zealand","Kingston","24 Apr 2007"
"19","-","-","1","0","","v Australia","Bridgetown","28 Apr 2007"
"18","-","-","0","0","","v Pakistan","Abu Dhabi","18 May 2007"
"61","-","-","0","0","","v Pakistan","Abu Dhabi","20 May 2007"
"83","-","-","0","0","","v Pakistan","Abu Dhabi","22 May 2007"
"65","-","-","1","0","","v Africa XI","Bengaluru","6 Jun 2007"
"45","0","19","0","0","","v Africa XI","Chennai","9 Jun 2007"
"107","-","-","0","0","","v Africa XI","Chennai","10 Jun 2007"
"2","-","-","1","0","","v Bangladesh","Colombo (PSS)","20 Jul 2007"
"7","-","-","2","0","","v Bangladesh","Colombo (RPS)","23 Jul 2007"
"20","-","-","1","0","","v Bangladesh","Colombo (RPS)","25 Jul 2007"
"66","-","-","2","0","","v England","Dambulla","1 Oct 2007"
"23","-","-","2","0","","v England","Dambulla","4 Oct 2007"
"2","-","-","0","0","","v England","Dambulla","7 Oct 2007"
"0","-","-","0","0","","v England","Colombo (RPS)","10 Oct 2007"
"0","-","-","0","0","","v England","Colombo (RPS)","13 Oct 2007"
"TDNB","-","-","1","0","","v India","Brisbane","5 Feb 2008"
"6","-","-","2","0","","v Australia","Sydney","8 Feb 2008"
"36*","-","-","0","0","","v India","Canberra","12 Feb 2008"
"21","-","-","2","0","","v Australia","Perth","15 Feb 2008"
"71","-","-","1","0","","v India","Adelaide","19 Feb 2008"
"27","-","-","0","0","","v Australia","Melbourne","22 Feb 2008"
"3","-","-","0","0","","v India","Hobart","26 Feb 2008"
"50","-","-","1","0","","v Australia","Melbourne","29 Feb 2008"
"1","-","-","0","0","","v West Indies","Port of Spain","10 Apr 2008"
"4*","-","-","0","0","","v West Indies","Port of Spain","12 Apr 2008"
"17","-","-","0","0","","v West Indies","Gros Islet","15 Apr 2008"
"6","-","-","0","0","","v Bangladesh","Lahore","25 Jun 2008"
"61","-","-","1","0","","v U.A.E.","Lahore","26 Jun 2008"
"29","-","-","0","0","","v Pakistan","Karachi","29 Jun 2008"
"20","-","-","3","0","","v Bangladesh","Karachi","30 Jun 2008"
"50","-","-","0","0","","v India","Karachi","3 Jul 2008"
"11","-","-","1","0","","v India","Karachi","6 Jul 2008"
"61*","-","-","2","0","","v India","Dambulla","18 Aug 2008"
"2","-","-","0","0","","v India","Dambulla","20 Aug 2008"
"94","-","-","2","0","","v India","Colombo (RPS)","24 Aug 2008"
"16","-","-","2","0","","v India","Colombo (RPS)","27 Aug 2008"
"12","-","-","1","0","","v India","Colombo (RPS)","29 Aug 2008"
"15","-","-","0","0","","v Zimbabwe","Harare","20 Nov 2008"
"DNB","-","-","2","0","","v Zimbabwe","Harare","22 Nov 2008"
"4","-","-","0","0","","v Zimbabwe","Harare","24 Nov 2008"
"0","-","-","1","0","","v Zimbabwe","Harare","28 Nov 2008"
"0","-","-","0","0","","v Zimbabwe","Harare","30 Nov 2008"
"0","-","-","2","0","","v Zimbabwe","Dhaka","12 Jan 2009"
"28","-","-","0","0","","v Bangladesh","Dhaka","14 Jan 2009"
"0","-","-","0","0","","v Bangladesh","Dhaka","16 Jan 2009"
"1","-","-","0","0","","v Pakistan","Karachi","20 Jan 2009"
"24","-","-","1","0","","v Pakistan","Karachi","21 Jan 2009"
"18","-","-","1","0","","v Pakistan","Lahore","24 Jan 2009"
"11","-","-","0","0","","v India","Dambulla","28 Jan 2009"
"52","-","-","1","0","","v India","Colombo (RPS)","31 Jan 2009"
"30","-","-","0","0","","v India","Colombo (RPS)","3 Feb 2009"
"28","-","-","0","0","","v India","Colombo (RPS)","5 Feb 2009"
"1","-","-","0","0","","v India","Colombo (RPS)","8 Feb 2009"
"33","-","-","0","0","","v Pakistan","Dambulla","30 Jul 2009"
"12","-","-","1","0","","v Pakistan","Dambulla","1 Aug 2009"
"123","-","-","1","0","","v Pakistan","Dambulla","3 Aug 2009"
"19","-","-","1","0","","v Pakistan","Colombo (RPS)","7 Aug 2009"
"31","-","-","0","0","","v Pakistan","Colombo (RPS)","9 Aug 2009"
"0","-","-","0","0","","v New Zealand","Colombo (RPS)","8 Sep 2009"
"17","-","-","0","0","","v India","Colombo (RPS)","12 Sep 2009"
"1","-","-","0","0","","v India","Colombo (RPS)","14 Sep 2009"
"77","-","-","1","0","","v South Africa","Centurion","22 Sep 2009"
"9","-","-","0","0","","v England","Johannesburg","25 Sep 2009"
"77","-","-","2","0","","v New Zealand","Johannesburg","27 Sep 2009"
"3","-","-","0","0","","v India","Rajkot","15 Dec 2009"
"39","-","-","0","0","","v India","Nagpur","18 Dec 2009"
"2","-","-","0","0","","v India","Cuttack","21 Dec 2009"
"33","-","-","0","0","","v India","Kolkata","24 Dec 2009"
"108","-","-","0","0","","v Bangladesh","Dhaka","8 Jan 2010"
"5","-","-","0","0","","v India","Dhaka","10 Jan 2010"
"71*","-","-","0","0","","v India","Dhaka","13 Jan 2010"
"54","-","-","0","0","","v Pakistan","Dambulla","15 Jun 2010"
"43","-","-","1","0","","v Bangladesh","Dambulla","18 Jun 2010"
"53*","-","-","0","0","","v India","Dambulla","22 Jun 2010"
"11","-","-","1","0","","v India","Dambulla","24 Jun 2010"
"5","-","-","1","0","","v New Zealand","Dambulla","13 Aug 2010"
"4","-","-","0","0","","v India","Dambulla","16 Aug 2010"
"59*","-","-","-","-","","v New Zealand","Dambulla","19 Aug 2010"
"33","-","-","0","0","","v India","Dambulla","22 Aug 2010"
"39","-","-","0","0","","v India","Dambulla","28 Aug 2010"
"19","-","-","0","0","","v Australia","Melbourne","3 Nov 2010"
"5","-","-","0","0","","v Australia","Sydney","5 Nov 2010"
"0","-","-","0","0","","v Australia","Brisbane","7 Nov 2010"
"TDNB","-","-","0","0","","v West Indies","Colombo (SSC)","31 Jan 2011"
