"Bat1","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"186*","-","-","1","0","","v New Zealand","Hyderabad (Deccan)","8 Nov 1999"
"32","0","18","1","0","","v New Zealand","Rajkot","5 Nov 1999"
"0","-","-","0","0","","v West Indies","Singapore","8 Sep 1999"
"40","-","-","-","-","","v West Indies","Singapore","7 Sep 1999"
"85","-","-","0","0","","v Zimbabwe","Singapore","4 Sep 1999"
"120","-","-","0","0","","v Sri Lanka","Colombo (SSC)","29 Aug 1999"
"37","-","-","0","0","","v Sri Lanka","Colombo (RPS)","25 Aug 1999"
"14","-","-","0","0","","v Australia","Galle","23 Aug 1999"
"16","0","14","0","0","","v New Zealand","Nottingham","12 Jun 1999"
"45","-","-","1","0","","v Pakistan","Manchester","8 Jun 1999"
"0","0","4","0","0","","v Australia","The Oval","4 Jun 1999"
"22","-","-","0","0","","v England","Birmingham","29 May 1999"
"2","-","-","1","0","","v Sri Lanka","Taunton","26 May 1999"
"140*","0","23","0","0","","v Kenya","Bristol","23 May 1999"
"28","0","22","0","0","","v South Africa","Hove","15 May 1999"
"5","1","29","0","0","","v New Zealand","Auckland","16 Jan 1999"
"45","-","-","0","0","","v New Zealand","Wellington","14 Jan 1999"
"23","3","34","0","0","","v New Zealand","Napier","12 Jan 1999"
"0","1","34","0","0","","v New Zealand","Taupo","9 Jan 1999"
"124*","1","16","1","0","","v Zimbabwe","Sharjah","13 Nov 1998"
"11","1","14","0","0","","v Zimbabwe","Sharjah","11 Nov 1998"
"18","-","-","0","0","","v Sri Lanka","Sharjah","9 Nov 1998"
"118*","0","4","0","0","","v Zimbabwe","Sharjah","8 Nov 1998"
"3","0","17","0","0","","v Sri Lanka","Sharjah","6 Nov 1998"
"8","2","29","1","0","","v West Indies","Dhaka","31 Oct 1998"
"141","4","38","1","0","","v Australia","Dhaka","28 Oct 1998"
"2","0","30","0","0","","v Zimbabwe","Harare","30 Sep 1998"
"29","0","11","0","0","","v Zimbabwe","Bulawayo","27 Sep 1998"
"127*","-","-","1","0","","v Zimbabwe","Bulawayo","26 Sep 1998"
"77","-","-","0","0","","v Pakistan","Toronto","20 Sep 1998"
"128","0","13","0","0","","v Sri Lanka","Colombo (RPS)","7 Jul 1998"
"TDNB","-","-","1","0","","v New Zealand","Colombo (SSC)","3 Jul 1998"
"17","-","-","1","0","","v Sri Lanka","Colombo (SSC)","1 Jul 1998"
"53","1","32","0","0","","v New Zealand","Colombo (RPS)","23 Jun 1998"
"65","0","17","0","0","","v Sri Lanka","Colombo (RPS)","19 Jun 1998"
"100*","0","4","0","0","","v Kenya","Kolkata","31 May 1998"
"18","0","34","0","0","","v Kenya","Gwalior","28 May 1998"
"33","2","8","0","0","","v Bangladesh","Mumbai","25 May 1998"
"134","0","12","0","0","","v Australia","Sharjah","24 Apr 1998"
"143","1","27","0","0","","v Australia","Sharjah","22 Apr 1998"
"38","1","28","0","0","","v New Zealand","Sharjah","20 Apr 1998"
"80","0","21","0","0","","v Australia","Sharjah","19 Apr 1998"
"40","0","13","0","0","","v New Zealand","Sharjah","17 Apr 1998"
"15","0","13","1","0","","v Australia","Delhi","14 Apr 1998"
