"Bat1","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"9","-","-","1","0","","v South Africa","Jaipur","2 Nov 2006"
"2","-","-","0","0","","v Australia","Mumbai (BS)","5 Nov 2006"
"14","-","-","0","0","","v Pakistan","Faisalabad","7 Dec 2006"
"0","-","-","0","0","","v Pakistan","Lahore","10 Dec 2006"
"13*","-","-","0","0","","v Pakistan","Multan","13 Dec 2006"
"44","-","-","0","0","","v Pakistan","Karachi","16 Dec 2006"
"31","-","-","0","0","","v India","Nagpur","21 Jan 2007"
"83","-","-","1","0","","v India","Chennai","27 Jan 2007"
"3","-","-","0","0","","v India","Vadodara","31 Jan 2007"
"37","-","-","2","0","","v Pakistan","Kingston","13 Mar 2007"
"44*","-","-","0","0","","v Zimbabwe","Kingston","19 Mar 2007"
"DNB","-","-","0","0","","v Ireland","Kingston","23 Mar 2007"
"77","-","-","0","0","","v Australia","North Sound","27 Mar 2007"
"37","-","-","1","0","","v New Zealand","North Sound","29 Mar 2007"
"2","-","-","1","0","","v Sri Lanka","Providence","1 Apr 2007"
"21","-","-","0","0","","v South Africa","St George's","10 Apr 2007"
"33","-","-","1","0","","v Bangladesh","Bridgetown","19 Apr 2007"
"18","-","-","0","0","","v England","Bridgetown","21 Apr 2007"
